Title,Subtitle,DateTime
ROAD USER CHARGES (TEMPORARY RUC REDUCTION SCHEME) AMENDMENT BILL (NO 2),First Reading,2023-02-22 15:59:32
RETURNING OFFENDERS (MANAGEMENT AND INFORMATION) AMENDMENT BILL,First Reading,2023-02-22 20:11:57
VOTING,Correction—Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill (No 2),2023-02-22 21:17:40
RETURNING OFFENDERS (MANAGEMENT AND INFORMATION) AMENDMENT BILL,Second Reading,2023-02-22 21:19:34
VOTING,Correction—Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill (No 2),2023-02-22 21:23:10
RETURNING OFFENDERS (MANAGEMENT AND INFORMATION) AMENDMENT BILL,Second Reading,2023-02-22 21:24:32
VISITORS,United States—Secretary of the Interior,2023-02-21 14:02:00
RESIGNATIONS,"Rt Hon Jacinda Ardern, Mt Albert",2023-02-21 14:02:06
NATURAL HAZARDS INSURANCE BILL,Third Reading,2023-02-21 19:00:21
CLIMATE CHANGE RESPONSE (LATE PAYMENT PENALTIES AND INDUSTRIAL ALLOCATION) AMENDMENT BILL,First Reading,2023-02-21 20:12:54
FIRE AND EMERGENCY NEW ZEALAND (LEVY) AMENDMENT BILL,Second Reading,2023-02-21 21:07:25
BY-ELECTION RESULT,Hamilton West—Tama Potaka,2023-02-14 14:01:20
MOTIONS,Türkiye and Syria Earthquake—Condolences,2023-02-14 14:03:01
MINISTERIAL STATEMENTS,Cyclone Gabrielle—Declaration of State of National Emergency,2023-02-14 14:17:57
VISITORS,United States of America—California State Senate Delegation,2022-12-14 14:01:05
PERSONAL EXPLANATIONS,Personal Reflections and Unparliamentary Language—Reflections on Members,2022-12-14 14:02:56
THERAPEUTIC PRODUCTS BILL,First Reading,2022-12-14 14:56:43
SECONDARY LEGISLATION CONFIRMATION BILL,Second Reading,2022-12-14 15:37:52
ADJOURNMENT,,2022-12-14 15:51:05
WATER SERVICES LEGISLATION BILL,First Reading,2022-12-14 09:00:21
WATER SERVICES ECONOMIC EFFICIENCY AND CONSUMER PROTECTION BILL,First Reading,2022-12-14 09:26:44
VOTING,Correction—Water Services Economic Efficiency and Consumer Protection Bill,2022-12-14 10:36:53
HUMAN RIGHTS (INCITEMENT ON GROUND OF RELIGIOUS BELIEF) AMENDMENT BILL,First Reading,2022-12-14 10:37:43
SALE AND SUPPLY OF ALCOHOL (COMMUNITY PARTICIPATION) AMENDMENT BILL,First Reading,2022-12-14 11:48:27
THERAPEUTIC PRODUCTS BILL,First Reading,2022-12-14 12:51:38
NGĀTI KAHUNGUNU KI WAIRARAPA TĀMAKI NUI-A-RUA CLAIMS SETTLEMENT BILL,Third Reading,2022-12-13 15:01:11
SMOKEFREE ENVIRONMENTS AND REGULATED PRODUCTS (SMOKED TOBACCO) AMENDMENT BILL,Third Reading,2022-12-13 16:40:27
ELECTORAL AMENDMENT BILL,Third Reading,2022-12-13 17:57:45
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 11 to Minister,2022-12-13 19:00:28
ELECTORAL AMENDMENT BILL,Third Reading,2022-12-13 19:01:32
ORANGA TAMARIKI AMENDMENT BILL,Third Reading,2022-12-13 20:00:51
WATER SERVICES LEGISLATION BILL,First Reading,2022-12-13 21:08:50
OFFICES OF PARLIAMENT,Address to Governor-General,2022-12-08 14:54:57
APPOINTMENTS,Judicial Conduct Commissioner,2022-12-08 14:56:04
SMOKEFREE ENVIRONMENTS AND REGULATED PRODUCTS (SMOKED TOBACCO) AMENDMENT BILL,In Committee,2022-12-08 14:57:45
ORANGA TAMARIKI AMENDMENT BILL,In Committee,2022-12-08 15:08:04
NATURAL HAZARDS INSURANCE BILL,In Committee,2022-12-08 16:03:50
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,In Committee,2022-12-08 16:43:23
WATER SERVICES ENTITIES BILL,Third Reading,2022-12-08 08:59:53
VOTING,Correction—Sale and Supply of Alcohol (Exemption for Race Meetings) Amendment Bill,2022-12-08 10:57:39
ELECTORAL AMENDMENT BILL,In Committee,2022-12-08 10:58:52
SMOKEFREE ENVIRONMENTS AND REGULATED PRODUCTS (SMOKED TOBACCO) AMENDMENT BILL ,In Committee,2022-12-08 12:04:50
VISITORS,Ireland—Oireachtas Ireland Parliamentary Friendship Group for New Zealand,2022-12-07 14:01:33
URGENT DEBATES DECLINED,Cyber-security—Incident at Ministry of Justice,2022-12-07 14:57:27
VOTING,Correction—Extended Sitting Motion,2022-12-07 16:01:16
THOMAS CAWTHRON TRUST AMENDMENT BILL,First Reading,2022-12-07 16:01:43
NEW PLYMOUTH DISTRICT COUNCIL (PERPETUAL INVESTMENT FUND) BILL,First Reading,2022-12-07 17:06:02
HAWKE'S BAY AGRICULTURAL AND PASTORAL SOCIETY EMPOWERING BILL,First Reading,2022-12-07 17:50:05
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,In Committee,2022-12-07 19:44:34
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,In Committee,2022-12-07 19:59:22
SALE AND SUPPLY OF ALCOHOL (EXEMPTION FOR RACE MEETINGS) AMENDMENT BILL,Second Reading,2022-12-07 20:27:38
SALE AND SUPPLY OF ALCOHOL (HARM MINIMISATION) AMENDMENT BILL,First Reading,2022-12-07 21:51:35
VISITORS,Vietnam—National Assembly,2022-12-06 14:01:17
VOTING,Correction—Land Transport (Clean Vehicles) Amendment Bill (No 2) ,2022-12-06 15:06:36
TE ROHE O RONGOKAKO JOINT REDRESS BILL,Procedure,2022-12-06 15:07:04
WATER SERVICES ENTITIES BILL,Recommittal,2022-12-06 16:33:59
ELECTORAL AMENDMENT BILL,Second Reading,2022-12-06 19:00:18
SMOKEFREE ENVIRONMENTS AND REGULATED PRODUCTS (SMOKED TOBACCO) AMENDMENT BILL,Second Reading,2022-12-06 20:21:32
NATURAL HAZARDS INSURANCE BILL,In Committee,2022-12-06 21:49:19
GROCERY INDUSTRY COMPETITION BILL,First Reading,2022-11-25 09:00:22
FUEL INDUSTRY AMENDMENT BILL,First Reading,2022-11-25 09:40:37
CROWN MINERALS AMENDMENT BILL,First Reading,2022-11-25 10:20:35
LOCAL GOVERNMENT OFFICIAL INFORMATION AND MEETINGS AMENDMENT BILL,First Reading,2022-11-25 11:17:05
LEGAL SERVICES AMENDMENT BILL,First Reading,2022-11-25 11:59:52
ACCIDENT COMPENSATION (ACCESS REPORTING AND OTHER MATTERS) AMENDMENT BILL,First Reading,2022-11-25 12:35:34
HEALTH AND SAFETY AT WORK (HEALTH AND SAFETY REPRESENTATIVES AND COMMITTEES) AMENDMENT BILL,First Reading,2022-11-25 14:10:51
SECURITY INFORMATION IN PROCEEDINGS BILL,Third Readings,2022-11-25 14:59:23
MĀORI PURPOSES BILL,Third Reading,2022-11-25 15:03:55
REMUNERATION AUTHORITY LEGISLATION BILL,Third Reading,2022-11-25 15:27:00
STATUTES AMENDMENT BILL,Third Reading,2022-11-25 15:35:22
ORGANIC PRODUCTS AND PRODUCTION BILL,In Committee,2022-11-25 15:44:21
RESIDENTIAL TENANCIES (HEALTHY HOMES STANDARDS) AMENDMENT BILL,Third Reading,2022-11-24 09:00:21
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL (NO 2),First Reading,2022-11-24 09:21:35
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL (NO 2) ,In Committee,2022-11-24 11:09:26
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL (NO 2) ,Third Reading,2022-11-24 14:57:14
SOCIAL SECURITY (ACCOMMODATION SUPPLEMENT) AMENDMENT BILL,First Reading,2022-11-24 15:08:05
COVID-19 PUBLIC HEALTH RESPONSE (EXTENSION OF ACT AND REDUCTION OF POWERS) AMENDMENT BILL,First Reading,2022-11-24 16:13:55
VOTING,Correction—COVID-19 Public Health Response (Extension of Act and Reduction of Powers) Amendment Bill,2022-11-24 17:51:47
COVID-19 PUBLIC HEALTH RESPONSE (EXTENSION OF ACT AND REDUCTION OF POWERS) AMENDMENT BILL,Third Reading,2022-11-24 17:52:11
DAIRY INDUSTRY RESTRUCTURING (FONTERRA CAPITAL RESTRUCTURING) AMENDMENT BILL,In Committee,2022-11-24 19:15:01
CLIMATE CHANGE RESPONSE (EXTENSION OF PENALTY TRANSITION FOR FORESTRY ACTIVITIES WITH LOW VOLUME EMISSIONS LIABILITIES) AMENDMENT BILL,In Committee,2022-11-24 20:14:52
ARMS (LICENCE HOLDERS' APPLICATIONS FOR NEW LICENCES) AMENDMENT BILL,Second Reading,2022-11-24 20:41:21
COMPANIES (LEVIES) AMENDMENT BILL,In Committee,2022-11-24 22:14:19
GROCERY INDUSTRY COMPETITION BILL,First Reading,2022-11-24 23:36:56
WATER SERVICES ENTITIES BILL,In Committee,2022-11-23 09:00:27
WATER SERVICES ENTITIES BILL,In Committee,2022-11-23 15:11:18
RESIDENTIAL TENANCIES (HEALTHY HOMES STANDARDS) AMENDMENT BILL,First Reading,2022-11-23 21:00:08
APPOINTMENTS,Assistant Speaker,2022-11-22 14:55:14
NGĀTI KAHUNGUNU KI WAIRARAPA TĀMAKI NUI-A-RUA CLAIMS SETTLEMENT BILL,Second Reading,2022-11-22 14:56:36
NATURAL AND BUILT ENVIRONMENT BILL ,First Reading,2022-11-22 16:27:26
SPATIAL PLANNING BILL,First Reading,2022-11-22 19:17:13
WATER SERVICES ENTITIES BILL,In Committee,2022-11-22 20:57:48
VISITORS,Australia—Federal Minister for Home Affairs,2022-11-17 14:01:00
SPECIAL DEBATES,"Environment Committee—Emissions Budgets Published in 2022, and the First Emissions Reduction Plan",2022-11-17 15:09:45
SECURITY INFORMATION IN PROCEEDINGS (REPEALS AND AMENDMENTS) BILL,Third Readings,2022-11-17 16:11:15
SPEAKER'S RULINGS,"Question No. 7 to Minister, 15 November 2023—Application of the Sub Judice Rule",2022-11-16 14:01:56
ELECTORAL (MĀORI ELECTORAL OPTION) LEGISLATION BILL,Third Reading,2022-11-16 16:02:12
WATER SERVICES ENTITIES BILL,Second Reading,2022-11-16 17:10:51
CLIMATE CHANGE RESPONSE (EXTENSION OF PENALTY TRANSITION FOR FORESTRY ACTIVITIES WITH LOW VOLUME EMISSIONS LIABILITIES) AMENDMENT BILL,Second Reading,2022-11-16 20:23:31
ORANGA TAMARIKI AMENDMENT BILL,In Committee,2022-11-16 21:28:20
COMPANIES (LEVIES) AMENDMENT BILL,Second Reading,2022-11-16 09:00:22
PLANT VARIETY RIGHTS BILL,Third Reading,2022-11-16 09:19:11
NATURAL HAZARDS INSURANCE BILL,Second Reading,2022-11-16 10:19:35
MĀORI PURPOSES BILL,In Committee,2022-11-16 10:36:58
REMUNERATION AUTHORITY LEGISLATION BILL,In Committee,2022-11-16 11:06:51
STATUTES AMENDMENT BILL,In Committee,2022-11-16 11:43:10
CIVIL AVIATION BILL,Second Reading,2022-11-16 12:01:27
VISITORS,Niue Legislation Assembly—Parliamentary Delegation,2022-11-15 14:01:05
MOTIONS,Black Ferns—Congratulations,2022-11-15 14:01:27
SPEAKER'S RULINGS,Reserved Provision—Electoral (Māori Option) Legislation Bill,2022-11-15 14:17:33
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 8 to Minister, 9 November",2022-11-15 14:21:53
TE ROHE O RONGOKAKO JOINT REDRESS BILL,Second Reading,2022-11-15 15:24:56
SUSTAINABLE BIOFUEL OBLIGATION BILL,First Reading,2022-11-15 16:49:02
ELECTORAL (MĀORI ELECTORAL OPTION) LEGISLATION BILL,In Committee,2022-11-15 19:18:15
SECURITY INFORMATION IN PROCEEDINGS LEGISLATION BILL,In Committee,2022-11-15 19:58:37
DAIRY INDUSTRY RESTRUCTURING (FONTERRA CAPITAL RESTRUCTURING) AMENDMENT BILL,Second Reading,2022-11-15 20:32:12
COMPANIES (LEVIES) AMENDMENT BILL,Second Reading,2022-11-15 21:38:56
SPECIAL DEBATES,Transport and Infrastructure Committee—Inquiry into congestion pricing in Auckland,2022-11-10 14:58:08
STATUTES AMENDMENT BILL,Second Reading,2022-11-10 15:54:56
NATURAL HAZARDS INSURANCE BILL,Second Reading,2022-11-10 16:18:38
APPLE TRANSITIONAL EXPORT QUOTA BILL,Third Readings,2022-11-10 09:00:22
INSPECTOR-GENERAL OF DEFENCE BILL,First Reading,2022-11-10 10:33:49
VOTING,Correction—United Kingdom Free Trade Agreement Legislation Bill,2022-11-10 10:44:35
INSPECTOR-GENERAL OF DEFENCE BILL,First Reading,2022-11-10 10:45:01
PLANT VARIETY RIGHTS BILL,In Committee,2022-11-10 10:56:09
NATURAL HAZARDS INSURANCE BILL,Second Reading,2022-11-10 12:44:00
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,Second Reading,2022-11-09 16:03:23
EMPLOYMENT RELATIONS (EXTENDED TIME FOR PERSONAL GRIEVANCE FOR SEXUAL HARASSMENT) AMENDMENT BILL,Second Reading,2022-11-09 17:30:44
COMPANIES (DIRECTORS DUTIES) AMENDMENT BILL,First Reading,2022-11-09 20:11:27
ELECTORAL (RIGHT TO SWITCH ROLLS FREELY) AMENDMENT BILL,First Reading,2022-11-09 20:55:23
SPEAKER'S RULINGS,Reply to Written Question—Unparliamentary Remark,2022-11-08 14:01:19
ARMS (LICENCE HOLDERS' APPLICATIONS FOR NEW LICENCES) AMENDMENT BILL,First Reading,2022-11-08 15:03:02
UNITED KINGDOM FREE TRADE AGREEMENT LEGISLATION BILL,In Committee,2022-11-08 16:15:03
ELECTORAL (MĀORI ELECTORAL OPTION) LEGISLATION BILL,Second Reading,2022-11-08 16:44:48
CUSTOMS AND EXCISE (ARRIVAL INFORMATION) AMENDMENT BILL,First Reading,2022-11-08 17:45:33
BUSINESS PAYMENT PRACTICES BILL,First Reading,2022-11-08 19:46:57
INSPECTOR-GENERAL OF DEFENCE BILL,First Reading,2022-11-08 20:54:02
MOTIONS,Iranian Affairs—Women's Rights,2022-10-27 14:03:50
REPORTS,"Briefing on Disarmament—Report of the Foreign Affairs, Defence and Trade Committee",2022-10-27 15:00:10
ORGANIC PRODUCTS BILL,Second Reading,2022-10-27 15:56:09
STATUTES AMENDMENT BILL,Second Reading,2022-10-27 16:30:02
FAIR PAY AGREEMENTS BILL,Third Reading,2022-10-26 16:01:57
COUNTER-TERRORISM ACTS (DESIGNATIONS AND CONTROL ORDERS) AMENDMENT BILL,First Reading,2022-10-26 19:00:24
COVID-19 ORDERS,Approval,2022-10-26 20:24:58
UNITED KINGDOM FREE TRADE AGREEMENT LEGISLATION BILL,Second Reading,2022-10-26 20:48:54
FAIR PAY AGREEMENTS BILL,In Committee,2022-10-26 09:00:03
HAZARDOUS SUBSTANCES AND NEW ORGANISMS (HAZARDOUS SUBSTANCES ASSESSMENTS) AMENDMENT BILL,Third Reading,2022-10-26 09:54:30
MĀORI PURPOSES BILL,Second Reading,2022-10-26 10:42:01
ORANGA TAMARIKI AMENDMENT BILL,Second Reading,2022-10-26 11:49:14
ORGANIC PRODUCTS BILL,Second Reading,2022-10-26 12:21:35
URGENT DEBATES DECLINED,Education—Release of results from NCEA literacy and numeracy pilot,2022-10-25 15:07:46
FISHERIES AMENDMENT BILL,Third Reading,2022-10-25 15:11:10
FAIR PAY AGREEMENTS BILL,In Committee,2022-10-25 16:01:53
FAIR PAY AGREEMENTS BILL,In Committee,2022-10-25 19:00:26
FAIR PAY AGREEMENTS BILL,In Committee,2022-10-20 14:59:46
FAIR PAY AGREEMENTS BILL,In Committee,2022-10-20 09:00:52
RESIGNATIONS,"Dr Gaurav Sharma, Hamilton West",2022-10-19 14:01:05
MOTIONS,APRA Silver Scroll Awards 2022—Congratulations,2022-10-19 14:02:35
URGENT DEBATES,Oranga Tamariki—Murder of Malachi Subecz,2022-10-19 15:10:11
PLAIN LANGUAGE BILL,Third Reading,2022-10-19 17:43:08
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,Third Reading,2022-10-19 20:18:51
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,Second Reading,2022-10-19 21:47:06
URGENT DEBATES,Health—Death of a patient at Middlemore Hospital,2022-10-18 15:11:58
FAIR PAY AGREEMENTS BILL,Second Reading,2022-10-18 16:37:51
CLIMATE CHANGE RESPONSE (EXTENSION OF PENALTY TRANSITION FOR FORESTRY ACTIVITIES WITH LOW VOLUME EMISSIONS LIABILITIES) AMENDMENT BILL,First Reading,2022-10-18 19:19:48
WORKER PROTECTION (MIGRANT AND OTHER EMPLOYEES) BILL,First Reading,2022-10-18 20:20:22
FISHERIES AMENDMENT BILL,Third Reading,2022-10-18 21:34:31
RESIGNATIONS,"Rt Hon Trevor Mallard, New Zealand Labour ",2022-09-29 14:01:27
SPECIAL DEBATES,Migrant Exploitation Inquiry—Report of the Education and Workforce Committee,2022-09-29 14:47:39
SECURITY INFORMATION IN PROCEEDINGS LEGISLATION BILL,Second Reading,2022-09-29 15:49:01
VISITORS,New South Wales—Legislative Assembly,2022-09-28 14:01:18
CHARITIES AMENDMENT BILL,First Reading,2022-09-28 15:59:45
ANIMAL WELFARE AMENDMENT BILL,Third Reading,2022-09-28 17:04:18
FISHERIES AMENDMENT BILL,Instruction to Committee,2022-09-28 17:37:30
HAZARDOUS SUBSTANCES AND NEW ORGANISMS (HAZARDOUS SUBSTANCES ASSESSMENTS) AMENDMENT BILL,In Committee,2022-09-28 19:00:19
FISHERIES AMENDMENT BILL,In Committee,2022-09-28 19:42:01
PLANT VARIETY RIGHTS BILL,In Committee,2022-09-28 21:06:10
FISHERIES AMENDMENT BILL,Second Reading,2022-09-28 09:00:21
SCREEN INDUSTRY WORKERS BILL,Third Reading,2022-09-28 09:52:27
FIRE AND EMERGENCY NEW ZEALAND (LEVY) AMENDMENT BILL,First Reading,2022-09-28 11:02:32
Instruction To Governance and Administration Committee,,2022-09-28 12:08:29
ANIMAL WELFARE AMENDMENT BILL,Third Reading,2022-09-28 12:09:05
DEPOSIT TAKERS BILL,First Reading,2022-09-27 15:08:16
DAIRY INDUSTRY RESTRUCTURING (FONTERRA CAPITAL RESTRUCTURING) AMENDMENT BILL,First Reading,2022-09-27 16:17:49
ACCIDENT COMPENSATION (MATERNAL BIRTH INJURY AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2022-09-27 16:48:41
CRIMINAL PROCEEDS (RECOVERY) AMENDMENT BILL,First Reading,2022-09-27 19:00:21
CRIMINAL ACTIVITY INTERVENTION LEGISLATION BILL,First Reading,2022-09-27 20:17:17
FISHERIES AMENDMENT BILL,Second Reading,2022-09-27 21:31:08
MOTIONS,Māori Fisheries Settlement—30th Anniversary,2022-09-22 14:01:03
MOTIONS,Standing Orders—Queen Elizabeth II Memorial Day,2022-09-22 14:57:34
ACCIDENT COMPENSATION (MATERNAL BIRTH INJURY AND OTHER MATTERS) AMENDMENT BILL,In Committee,2022-09-22 15:00:54
DAIRY INDUSTRY RESTRUCTURING (FONTERRA CAPITAL RESTRUCTURING) AMENDMENT BILL,First Reading,2022-09-22 15:51:39
MANIAPOTO CLAIMS SETTLEMENT BILL,In Committee,2022-09-22 09:00:35
"TAXATION (ANNUAL RATES FOR 2022-23, PLATFORM ECONOMY, AND REMEDIAL MATTERS) BILL (NO 2)",First Reading,2022-09-22 11:00:24
ACCIDENT COMPENSATION (MATERNAL BIRTH INJURY AND OTHER MATTERS) AMENDMENT BILL,In Committee,2022-09-22 12:39:17
PLAIN LANGUAGE BILL,In Committee,2022-09-21 15:55:00
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,In Committee,2022-09-21 19:02:25
OVERSEAS INVESTMENT (EXEMPT INVESTMENT FROM OECD COUNTRIES) AMENDMENT BILL,First Reading,2022-09-21 19:26:46
ELECTORAL (STRENGTHENING DEMOCRACY) AMENDMENT BILL,First Reading,2022-09-21 19:43:14
PERSONAL EXPLANATIONS,Debate—Reflections on Members' Families,2022-09-21 19:53:21
ELECTORAL (STRENGTHENING DEMOCRACY) AMENDMENT BILL,First Reading,2022-09-21 19:54:40
INCREASED PENALTIES FOR BREACH OF BIOSECURITY BILL,First Reading,2022-09-21 20:45:01
COMPANIES (DIRECTORS DUTIES) AMENDMENT BILL,First Reading,2022-09-21 21:40:51
VISITORS,"Malaysia—Parliament, Delegation",2022-09-20 14:01:06
URGENT DEBATES DECLINED,COVID-19—Reasons for Northland Alert Level 3 in 2021,2022-09-20 14:58:34
IMPREST SUPPLY (SECOND FOR 2022/23) BILL,First Reading,2022-09-20 15:00:08
IMPREST SUPPLY (SECOND FOR 2022/23) BILL,Second Reading,2022-09-20 15:01:34
IMPREST SUPPLY (SECOND FOR 2022/23) BILL,Third Reading,2022-09-20 19:04:02
QUEEN ELIZABETH II MEMORIAL DAY BILL,First Reading,2022-09-20 19:06:35
OBITUARIES,Mikhail Gorbachev,2022-09-01 14:00:54
ESTIMATES DEBATE,In Committee,2022-09-01 15:07:39
REMUNERATION AUTHORITY LEGISLATION BILL,Second Reading,2022-09-01 16:02:40
ORANGA TAMARIKI AMENDMENT BILL,Second Reading,2022-09-01 16:12:22
PALMERSTON NORTH RESERVES EMPOWERING AMENDMENT BILL,Third Reading,2022-09-01 09:00:25
PLAIN LANGUAGE BILL,Second Reading,2022-09-01 10:25:01
OVERSEAS INVESTMENT (EXEMPT INVESTMENT FROM OECD COUNTRIES) AMENDMENT BILL,First Reading,2022-09-01 12:14:27
ANIMAL WELFARE AMENDMENT BILL,In Committee,2022-08-31 15:54:34
SCREEN INDUSTRY WORKERS BILL,In Committee,2022-08-31 16:59:27
PLANT VARIETY RIGHTS BILL,In Committee,2022-08-31 21:05:19
ESTIMATES DEBATE,In Committee,2022-08-30 14:52:14
CORONERS AMENDMENT BILL,First Reading,2022-08-30 19:47:28
SELF-CONTAINED MOTOR VEHICLES LEGISLATION BILL,First Reading,2022-08-30 20:51:43
APPOINTMENTS,Deputy Speaker,2022-08-25 14:04:14
ELECTRICITY INDUSTRY AMENDMENT BILL,Third Reading,2022-08-25 15:07:50
REMUNERATION AUTHORITY LEGISLATION BILL,Second Reading,2022-08-25 16:17:22
NEW ZEALAND BILL OF RIGHTS (DECLARATIONS OF INCONSISTENCY) AMENDMENT BILL,Third Reading,2022-08-24 09:00:30
SCREEN INDUSTRY WORKERS BILL,Second Reading,2022-08-24 09:21:56
CONSTRUCTION CONTRACTS (RETENTION MONEY) AMENDMENT BILL,Second Reading,2022-08-24 09:46:41
ELECTRICITY INDUSTRY AMENDMENT BILL,In Committee,2022-08-24 10:52:40
ANIMAL WELFARE AMENDMENT BILL,In Committee,2022-08-24 12:29:05
SPEAKER'S STATEMENTS,Dr Gaurav Sharma—Change of Parliamentary Membership,2022-08-23 14:01:06
VISITORS,United States of America—Council of Young Political Leaders Exchange,2022-08-23 14:01:33
OBITUARIES,Sir Toby Curtis,2022-08-23 14:02:11
MOTIONS,Oral Questions—Leave Declined,2022-08-23 15:11:07
URGENT DEBATES DECLINED,Kiwibank—Public Ownership,2022-08-23 15:11:54
ESTIMATES DEBATE,In Committee,2022-08-23 15:14:32
CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,,2022-08-23 19:39:01
STANDING ORDERS,Sessional,2022-08-23 21:06:50
OVERSEAS INVESTMENT (FORESTRY) AMENDMENT BILL,Third Reading,2022-08-11 14:58:50
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,In Committee,2022-08-11 15:56:06
SCREEN INDUSTRY WORKERS BILL,Second Reading,2022-08-11 16:12:46
MANIAPOTO CLAIMS SETTLEMENT BILL,Second Reading,2022-08-11 09:00:32
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,In Committee,2022-08-11 10:40:06
VISITORS,Latvia—Foreign Minister,2022-08-10 14:01:03
SPEAKER'S RULINGS,Written Questions—Overdue Replies,2022-08-10 14:01:25
ESTIMATES DEBATE,In Committee,2022-08-10 16:12:48
OVERSEAS INVESTMENT (FORESTRY) AMENDMENT BILL,In Committee,2022-08-10 20:00:01
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,In Committee,2022-08-10 21:16:59
MOTIONS,New Zealand Commonwealth Games Team 2022—Congratulations,2022-08-09 14:00:55
APPOINTMENTS,Assistant Speakers,2022-08-09 15:12:45
THREE STRIKES LEGISLATION REPEAL BILL,Third Reading,2022-08-10 15:10:11
FIREARMS PROHIBITION ORDERS LEGISLATION BILL,In Commitee,2022-08-09 16:28:51
OVERSEAS INVESTMENT (FORESTRY) AMENDMENT BILL,Second Reading,2022-08-09 19:09:38
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,In Committee,2022-08-09 20:12:48
FIREARMS PROHIBITION ORDERS LEGISLATION BILL,Second Reading,2022-08-04 14:59:12
OVERSEAS INVESTMENT (FORESTRY) AMENDMENT BILL,Second Reading,2022-08-04 16:27:26
CANTERBURY REGIONAL COUNCIL (NGĀI TAHU REPRESENTATION) BILL,Third Reading,2022-08-03 15:05:40
PALMERSTON NORTH RESERVES EMPOWERING AMENDMENT BILL,In Committee,2022-08-03 20:12:43
CHILD PROTECTION (CHILD SEX OFFENDER GOVERNMENT AGENCY REGISTRATION) (OVERSEAS TRAVEL REPORTING) AMENDMENT BILL,First Reading,2022-08-03 20:40:37
REPEAL OF GOOD FRIDAY AND EASTER SUNDAY AS RESTRICTED TRADING DAYS (SHOP TRADING AND SALE OF ALCOHOL) AMENDMENT BILL,First Reading,2022-08-03 20:52:17
THREE STRIKES LEGISLATION REPEAL BILL,In Committee,2022-08-03 09:00:21
NEW ZEALAND BILL OF RIGHTS (DECLARATIONS OF INCONSISTENCY) AMENDMENT BILL,In Committee,2022-08-03 11:16:25
ANIMAL WELFARE AMENDMENT BILL,In Committee,2022-08-03 12:01:21
VOTING,Correction—Three Strikes Legislation Repeal Bill,2022-08-03 12:29:03
ANIMAL WELFARE AMENDMENT BILL,In Committee,2022-08-03 12:30:01
SECONDARY LEGISLATION CONFIRMATION BILL,First Reading,2022-08-02 15:11:04
ACCESSIBILITY FOR NEW ZEALANDERS BILL,First Reading,2022-08-02 15:11:50
ELECTORAL AMENDMENT BILL,First Reading,2022-08-02 16:48:40
DATA AND STATISTICS BILL,Third Reading,2022-08-02 17:15:39
DATA AND STATISTICS BILL,Third Reading,2022-08-02 19:00:27
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,First Reading,2022-08-02 19:43:29
LOCAL GOVERNMENT ELECTORAL LEGISLATION BILL,First Reading,2022-08-02 20:45:04
THREE STRIKES LEGISLATION REPEAL BILL,In Committee,2022-08-02 21:52:16
SPECIAL DEBATES,"Petitions Committee, Report—Petition of Citizens Advice Bureau New Zealand: Leave no-one behind – Campaign to address digital exclusion ",2022-07-28 14:58:20
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 4 to Minister,2022-07-28 15:19:10
SPECIAL DEBATES,"Petitions Committee, Report—Petition of Citizens Advice Bureau New Zealand: Leave no-one behind – Campaign to address digital exclusion",2022-07-28 15:19:45
ELECTORAL AMENDMENT BILL,First Reading,2022-07-28 15:56:02
DATA AND STATISTICS BILL,In Committee,2022-07-28 08:59:52
THREE STRIKES LEGISLATION REPEAL BILL,In Committee,2022-07-28 12:38:29
VOTING,Correction—Data and Statistics Bill,2022-07-28 12:53:43
THREE STRIKES LEGISLATION REPEAL BILL,In Committee,2022-07-28 12:54:18
MINISTERIAL STATEMENT,Myanmar—Executions by Military Regime,2022-07-27 14:00:55
